commodity,location,year,irrigated,non_irr,total
"VEGETABLES, OTHER",06019,1997,1365,0,1365
VEGETABLE TOTALS,06019,1997,17917,0,17917
BARLEY,06021,1997,1070,340,1410
CORN,06021,1997,20150,0,20150
COTTON,06021,1997,1046,0,1046
CUCUMBERS,06021,1997,190,0,190
GRASSES & LEGUMES TOTALS,06021,1997,2559,0,2559
HAY,06021,1997,17757,2684,20441
HAYLAGE,06021,1997,3276,60,3336
MELONS,06021,1997,40,0,40
OATS,06021,1997,149,36,185
RICE,06021,1997,83300,0,83300
SAFFLOWER,06021,1997,909,270,1179
SORGHUM,06021,1997,497,0,497
SUNFLOWER,06021,1997,7583,0,7583
TOMATOES,06021,1997,2,0,2
VEGETABLE TOTALS,06021,1997,563,0,563
WHEAT,06021,1997,14730,2679,17409
BEANS,06023,1997,0,222,222
BEETS,06023,1997,4,0,4
BERRY TOTALS,06023,1997,61,0,61
BLACKBERRIES,06023,1997,2,0,2
BLUEBERRIES,06023,1997,52,0,52
BROCCOLI,06023,1997,10,0,10
CABBAGE,06023,1997,12,0,12
CARROTS,06023,1997,4,0,4
CAULIFLOWER,06023,1997,2,0,2
CORN,06023,1997,480,0,480
CUCUMBERS,06023,1997,12,0,12
EGGPLANT,06023,1997,2,0,2
GARLIC,06023,1997,6,0,6
HAY,06023,1997,1825,2174,3999
HAYLAGE,06023,1997,3653,1517,5170
HERBS,06023,1997,0,2,2
LETTUCE,06023,1997,15,0,15
MELONS,06023,1997,23,0,23
ONIONS,06023,1997,4,0,4
POTATOES,06023,1997,359,0,359
PUMPKINS,06023,1997,50,0,50
RASPBERRIES,06023,1997,1,0,1
SPINACH,06023,1997,7,0,7
SQUASH,06023,1997,24,0,24
STRAWBERRIES,06023,1997,6,0,6
SWEET CORN,06023,1997,23,0,23
TOMATOES,06023,1997,22,0,22
"VEGETABLES, OTHER",06023,1997,5,0,5
VEGETABLE TOTALS,06023,1997,483,0,483
ARTICHOKES,06025,1997,311,0,311
ASPARAGUS,06025,1997,4953,0,4953
BROCCOLI,06025,1997,7000,0,7000
CABBAGE,06025,1997,647,0,647
CARROTS,06025,1997,14255,0,14255
CAULIFLOWER,06025,1997,3015,0,3015
CORN,06025,1997,3723,0,3723
COTTON,06025,1997,6058,0,6058
"FIELD CROPS, OTHER",06025,1997,118,0,118
HAY,06025,1997,15089,117,15206
HAYLAGE,06025,1997,5913,0,5913
LETTUCE,06025,1997,25470,0,25470
MELONS,06025,1997,14561,0,14561
ONIONS,06025,1997,7746,0,7746
POTATOES,06025,1997,1465,0,1465
SQUASH,06025,1997,68,0,68
SUGARBEETS,06025,1997,35773,0,35773
SWEET CORN,06025,1997,4737,0,4737
TOMATOES,06025,1997,1057,0,1057
"VEGETABLES, OTHER",06025,1997,568,0,568
VEGETABLE TOTALS,06025,1997,87198,0,87198
HAY,06027,1997,2611,0,2611
VEGETABLE TOTALS,06027,1997,8,0,8
BARLEY,06029,1997,9960,3125,13085
BERRY TOTALS,06029,1997,20,0,20
BOYSENBERRIES,06029,1997,8,0,8
BROCCOLI,06029,1997,400,0,400
CABBAGE,06029,1997,329,0,329
CARROTS,06029,1997,55099,0,55099
CORN,06029,1997,20988,0,20988
COTTON,06029,1997,26628,0,26628
GARLIC,06029,1997,3230,0,3230
GRASSES & LEGUMES TOTALS,06029,1997,321,0,321
HAY,06029,1997,102618,3871,106489
HAYLAGE,06029,1997,9669,1835,11504
LETTUCE,06029,1997,4445,0,4445
MELONS,06029,1997,8627,0,8627
OATS,06029,1997,224,50,274
OKRA,06029,1997,4,0,4
ONIONS,06029,1997,9545,0,9545
POTATOES,06029,1997,21692,0,21692
RASPBERRIES,06029,1997,8,0,8
SAFFLOWER,06029,1997,5403,884,6287
SOD,06029,1997,993,0,993
SORGHUM,06029,1997,303,0,303
SQUASH,06029,1997,347,0,347
SUGARBEETS,06029,1997,5240,0,5240
SWEET CORN,06029,1997,467,0,467
TOMATOES,06029,1997,3209,0,3209
TURNIPS,06029,1997,404,0,404
"VEGETABLES, OTHER",06029,1997,37,0,37
VEGETABLE TOTALS,06029,1997,89533,0,89533
BARLEY,06031,1997,8625,2510,11135
CORN,06031,1997,49425,0,49425
COTTON,06031,1997,19720,0,19720
HAY,06031,1997,35453,2913,38366
HAYLAGE,06031,1997,14953,1091,16044
MELONS,06031,1997,1769,0,1769
OATS,06031,1997,344,12,356
SAFFLOWER,06031,1997,15573,2180,17753
SUGARBEETS,06031,1997,2044,0,2044
TOMATOES,06031,1997,8457,0,8457
VEGETABLE TOTALS,06031,1997,11967,0,11967
BEANS,06033,1997,0,2,2
BERRY TOTALS,06033,1997,5,0,5
BLACKBERRIES,06033,1997,3,0,3
CUCUMBERS,06033,1997,1,0,1
GARLIC,06033,1997,1,0,1
HAY,06033,1997,605,2553,3158
HERBS,06033,1997,0,1,1
LETTUCE,06033,1997,1,0,1
MELONS,06033,1997,1,0,1
ONIONS,06033,1997,1,0,1
PUMPKINS,06033,1997,1,0,1
SQUASH,06033,1997,5,0,5
SWEET CORN,06033,1997,4,0,4
TOMATOES,06033,1997,11,0,11
VEGETABLE TOTALS,06033,1997,50,0,50
BARLEY,06035,1997,440,773,1213
HAY,06035,1997,29990,8103,38093
HAYLAGE,06035,1997,408,420,828
TOMATOES,06035,1997,1,0,1
VEGETABLE TOTALS,06035,1997,392,0,392
WHEAT,06035,1997,1023,303,1326
BARLEY,06037,1997,0,738,738
BEANS,06037,1997,0,7,7
BEETS,06037,1997,6,0,6
CABBAGE,06037,1997,32,0,32
CORN,06037,1997,68,0,68
CUCUMBERS,06037,1997,31,0,31
EGGPLANT,06037,1997,2,0,2
GREENS,06037,1997,21,0,21
HAY,06037,1997,7808,947,8755
HERBS,06037,1997,0,24,24
LETTUCE,06037,1997,82,0,82
MELONS,06037,1997,78,0,78
ONIONS,06037,1997,2485,0,2485
PUMPKINS,06037,1997,164,0,164
SQUASH,06037,1997,91,0,91
STRAWBERRIES,06037,1997,539,0,539
SWEET CORN,06037,1997,57,0,57
TOMATOES,06037,1997,25,0,25
"VEGETABLES, OTHER",06037,1997,74,0,74
VEGETABLE TOTALS,06037,1997,4895,0,4895
BEANS,06039,1997,0,6,6
BERRY TOTALS,06039,1997,25,0,25
CORN,06039,1997,15727,0,15727
COTTON,06039,1997,37795,0,37795
HAY,06039,1997,29537,2086,31623
HAYLAGE,06039,1997,3932,274,4206
MELONS,06039,1997,742,0,742
OATS,06039,1997,1388,335,1723
SUGARBEETS,06039,1997,497,0,497
SWEET CORN,06039,1997,1139,0,1139
TOMATOES,06039,1997,2062,0,2062
VEGETABLE TOTALS,06039,1997,7289,0,7289
BERRY TOTALS,06041,1997,2,0,2
GREENS,06041,1997,2,0,2
HAY,06041,1997,0,2342,2342
HAYLAGE,06041,1997,0,2799,2799
LETTUCE,06041,1997,34,0,34
POTATOES,06041,1997,19,0,19
PUMPKINS,06041,1997,11,0,11
RASPBERRIES,06041,1997,2,0,2
SQUASH,06041,1997,7,0,7
TOMATOES,06041,1997,1,0,1
"VEGETABLES, MIXED",06041,1997,36,0,36
"VEGETABLES, OTHER",06041,1997,9,0,9
VEGETABLE TOTALS,06041,1997,113,0,113
HAY,06043,1997,0,177,177
VEGETABLE TOTALS,06043,1997,10,0,10
BEANS,06045,1997,0,33,33
BEETS,06045,1997,6,0,6
BERRY TOTALS,06045,1997,37,0,37
BLACKBERRIES,06045,1997,4,0,4
BROCCOLI,06045,1997,30,0,30
CARROTS,06045,1997,1,0,1
CORN,06045,1997,5,0,5
CUCUMBERS,06045,1997,4,0,4
EGGPLANT,06045,1997,1,0,1
GARLIC,06045,1997,7,0,7
HAY,06045,1997,860,2733,3593
HAYLAGE,06045,1997,910,624,1534
HERBS,06045,1997,0,10,10
LETTUCE,06045,1997,20,0,20
MELONS,06045,1997,2,0,2
OATS,06045,1997,0,50,50
ONIONS,06045,1997,4,0,4
PEAS,06045,1997,0,7,7
PUMPKINS,06045,1997,9,0,9
RASPBERRIES,06045,1997,6,0,6
SPINACH,06045,1997,6,0,6
STRAWBERRIES,06045,1997,15,0,15
SWEET CORN,06045,1997,49,0,49
TOMATOES,06045,1997,32,0,32
TURNIPS,06045,1997,3,0,3
"VEGETABLES, MIXED",06045,1997,21,0,21
"VEGETABLES, OTHER",06045,1997,10,0,10
VEGETABLE TOTALS,06045,1997,707,0,707
BARLEY,06047,1997,3775,838,4613
BEANS,06047,1997,0,194,194
BERRY TOTALS,06047,1997,587,0,587
CABBAGE,06047,1997,184,0,184
CORN,06047,1997,59170,0,59170
COTTON,06047,1997,74619,0,74619
CUCUMBERS,06047,1997,25,0,25
EGGPLANT,06047,1997,64,0,64
GRASSES & LEGUMES TOTALS,06047,1997,334,0,334
HAY,06047,1997,100646,8132,108778
HAYLAGE,06047,1997,25341,205,25546
HERBS,06047,1997,0,2,2
LETTUCE,06047,1997,1293,0,1293
MELONS,06047,1997,7838,0,7838
OATS,06047,1997,3733,339,4072
OKRA,06047,1997,1,0,1
PUMPKINS,06047,1997,37,0,37
RICE,06047,1997,4352,0,4352
SQUASH,06047,1997,387,0,387
STRAWBERRIES,06047,1997,447,0,447
SUGARBEETS,06047,1997,8451,0,8451
SWEET CORN,06047,1997,128,0,128
SWEET POTATOES,06047,1997,5843,0,5843
TOMATOES,06047,1997,20425,0,20425
"VEGETABLES, MIXED",06047,1997,44,0,44
"VEGETABLES, OTHER",06047,1997,32,0,32
VEGETABLE TOTALS,06047,1997,33227,0,33227
BARLEY,06049,1997,12695,270,12965
HAY,06049,1997,60447,3269,63716
OATS,06049,1997,594,0,594
ONIONS,06049,1997,1459,0,1459
POTATOES,06049,1997,5164,0,5164
"VEGETABLES, OTHER",06049,1997,1022,0,1022
VEGETABLE TOTALS,06049,1997,2557,0,2557
WHEAT,06049,1997,3493,90,3583
HAY,06051,1997,6083,45,6128
VEGETABLE TOTALS,06051,1997,254,0,254
ARTICHOKES,06053,1997,7644,0,7644
ASPARAGUS,06053,1997,3636,0,3636
BARLEY,06053,1997,1450,13088,14538
BEANS,06053,1997,0,873,873
BEETS,06053,1997,111,0,111
BERRY TOTALS,06053,1997,9182,0,9182
BLACKBERRIES,06053,1997,52,0,52
BROCCOLI,06053,1997,57144,0,57144
CABBAGE,06053,1997,5737,0,5737
CARROTS,06053,1997,3849,0,3849
CAULIFLOWER,06053,1997,18656,0,18656
CELERY,06053,1997,8921,0,8921
CHICORY,06053,1997,1055,0,1055
CUCUMBERS,06053,1997,28,0,28
GARLIC,06053,1997,1203,0,1203
GREENS,06053,1997,4045,0,4045
HAY,06053,1997,3800,6832,10632
HAYLAGE,06053,1997,0,580,580
HERBS,06053,1997,0,841,841
LETTUCE,06053,1997,13045,0,13045
MELONS,06053,1997,271,0,271
ONIONS,06053,1997,4446,0,4446
PARSLEY,06053,1997,1275,0,1275
PEAS,06053,1997,0,236,236
PUMPKINS,06053,1997,136,0,136
RADISHES,06053,1997,477,0,477
RASPBERRIES,06053,1997,317,0,317
SAFFLOWER,06053,1997,0,430,430
SPINACH,06053,1997,11261,0,11261
SQUASH,06053,1997,276,0,276
STRAWBERRIES,06053,1997,8805,0,8805
SUGARBEETS,06053,1997,185,0,185
TOMATOES,06053,1997,6075,0,6075
"VEGETABLES, MIXED",06053,1997,9,0,9
"VEGETABLES, OTHER",06053,1997,733,0,733
VEGETABLE TOTALS,06053,1997,27960,0,27960
WHEAT,06053,1997,1105,6705,7810
BEANS,06055,1997,0,3,3
BERRY TOTALS,06055,1997,21,0,21
HAY,06055,1997,340,1504,1844
PUMPKINS,06055,1997,5,0,5
SQUASH,06055,1997,3,0,3
SWEET CORN,06055,1997,4,0,4
TOMATOES,06055,1997,57,0,57
VEGETABLE TOTALS,06055,1997,85,0,85
BEANS,06057,1997,0,3,3
BERRY TOTALS,06057,1997,8,0,8
CUCUMBERS,06057,1997,3,0,3
EGGPLANT,06057,1997,2,0,2
GARLIC,06057,1997,5,0,5
HAY,06057,1997,97,46,143
PUMPKINS,06057,1997,3,0,3
RASPBERRIES,06057,1997,2,0,2
SQUASH,06057,1997,2,0,2
SWEET CORN,06057,1997,2,0,2
TOMATOES,06057,1997,4,0,4
"VEGETABLES, MIXED",06057,1997,6,0,6
"VEGETABLES, OTHER",06057,1997,4,0,4
VEGETABLE TOTALS,06057,1997,39,0,39
BEANS,06059,1997,0,1157,1157
CABBAGE,06059,1997,522,0,522
CARROTS,06059,1997,10,0,10
CAULIFLOWER,06059,1997,398,0,398
CUCUMBERS,06059,1997,15,0,15
GREENS,06059,1997,28,0,28
HERBS,06059,1997,0,27,27
LETTUCE,06059,1997,162,0,162
MELONS,06059,1997,12,0,12
ONIONS,06059,1997,10,0,10
SQUASH,06059,1997,131,0,131
STRAWBERRIES,06059,1997,1715,0,1715
SWEET CORN,06059,1997,411,0,411
TOMATOES,06059,1997,187,0,187
VEGETABLE TOTALS,06059,1997,4241,0,4241
BERRY TOTALS,06061,1997,60,0,60
BLACKBERRIES,06061,1997,20,0,20
BOYSENBERRIES,06061,1997,5,0,5
CUCUMBERS,06061,1997,2,0,2
EGGPLANT,06061,1997,3,0,3
HAY,06061,1997,393,2051,2444
LETTUCE,06061,1997,3,0,3
MELONS,06061,1997,8,0,8
POTATOES,06061,1997,3,0,3
PUMPKINS,06061,1997,13,0,13
RICE,06061,1997,16511,0,16511
SQUASH,06061,1997,8,0,8
SWEET CORN,06061,1997,7,0,7
TOMATOES,06061,1997,14,0,14
VEGETABLE TOTALS,06061,1997,91,0,91
WHEAT,06061,1997,0,1312,1312
HAY,06063,1997,8452,1262,9714
VEGETABLE TOTALS,06063,1997,17,0,17
ARTICHOKES,06065,1997,746,0,746
BARLEY,06065,1997,205,1335,1540
BEANS,06065,1997,0,563,563
BEETS,06065,1997,11,0,11
BERRY TOTALS,06065,1997,26,0,26
BLACKBERRIES,06065,1997,1,0,1
BOYSENBERRIES,06065,1997,7,0,7
BROCCOLI,06065,1997,2461,0,2461
CABBAGE,06065,1997,912,0,912
CARROTS,06065,1997,3323,0,3323
CAULIFLOWER,06065,1997,663,0,663
CELERY,06065,1997,247,0,247
CORN,06065,1997,5765,0,5765
COTTON,06065,1997,12671,0,12671
CUCUMBERS,06065,1997,160,0,160
EGGPLANT,06065,1997,248,0,248
GRASSES & LEGUMES TOTALS,06065,1997,412,0,412
GREENS,06065,1997,118,0,118
HAY,06065,1997,67242,11676,78918
HAYLAGE,06065,1997,5783,810,6593
HERBS,06065,1997,0,36,36
LETTUCE,06065,1997,5666,0,5666
MELONS,06065,1997,11810,0,11810
OATS,06065,1997,2153,150,2303
OKRA,06065,1997,3,0,3
ONIONS,06065,1997,845,0,845
PARSLEY,06065,1997,81,0,81
PEAS,06065,1997,0,1,1
PUMPKINS,06065,1997,5,0,5
RADISHES,06065,1997,116,0,116
SOD,06065,1997,3397,0,3397
SPINACH,06065,1997,176,0,176
SQUASH,06065,1997,531,0,531
STRAWBERRIES,06065,1997,18,0,18
SWEET CORN,06065,1997,4806,0,4806
TOMATOES,06065,1997,584,0,584
"VEGETABLES, OTHER",06065,1997,1028,0,1028
VEGETABLE TOTALS,06065,1997,38478,0,38478
WHEAT,06065,1997,9605,16261,25866
BARLEY,06067,1997,765,1004,1769
BEANS,06067,1997,0,36,36
BEETS,06067,1997,5,0,5
BERRY TOTALS,06067,1997,51,0,51
BLACKBERRIES,06067,1997,1,0,1
BOYSENBERRIES,06067,1997,1,0,1
BROCCOLI,06067,1997,4,0,4
CABBAGE,06067,1997,83,0,83
CELERY,06067,1997,1,0,1
CORN,06067,1997,35061,0,35061
CUCUMBERS,06067,1997,20,0,20
EGGPLANT,06067,1997,9,0,9
"FIELD CROPS, OTHER",06067,1997,137,0,137
GARLIC,06067,1997,3,0,3
GRASSES & LEGUMES TOTALS,06067,1997,4534,0,4534
GREENS,06067,1997,11,0,11
HAY,06067,1997,9522,4456,13978
HAYLAGE,06067,1997,2350,1681,4031
HERBS,06067,1997,0,4,4
LETTUCE,06067,1997,2,0,2
MELONS,06067,1997,48,0,48
OKRA,06067,1997,2,0,2
ONIONS,06067,1997,125,0,125
PEAS,06067,1997,0,7,7
POTATOES,06067,1997,14,0,14
PUMPKINS,06067,1997,130,0,130
RICE,06067,1997,8069,0,8069
SAFFLOWER,06067,1997,2694,4298,6992
SOD,06067,1997,226,0,226
SORGHUM,06067,1997,1850,662,2512
SQUASH,06067,1997,19,0,19
STRAWBERRIES,06067,1997,49,0,49
SWEET CORN,06067,1997,832,0,832
TOMATOES,06067,1997,7746,0,7746
"VEGETABLES, MIXED",06067,1997,54,0,54
"VEGETABLES, OTHER",06067,1997,81,0,81
VEGETABLE TOTALS,06067,1997,9448,0,9448
WHEAT,06067,1997,5840,2887,8727
ASPARAGUS,06069,1997,202,0,202
BARLEY,06069,1997,0,600,600
BEANS,06069,1997,0,29,29
BROCCOLI,06069,1997,2001,0,2001
CABBAGE,06069,1997,475,0,475
CAULIFLOWER,06069,1997,143,0,143
CELERY,06069,1997,408,0,408
GREENS,06069,1997,1,0,1
HAY,06069,1997,2241,4723,6964
HAYLAGE,06069,1997,0,604,604
LETTUCE,06069,1997,8998,0,8998
MELONS,06069,1997,16,0,16
ONIONS,06069,1997,1275,0,1275
SAFFLOWER,06069,1997,0,812,812
SPINACH,06069,1997,226,0,226
SQUASH,06069,1997,97,0,97
TOMATOES,06069,1997,1684,0,1684
"VEGETABLES, OTHER",06069,1997,482,0,482
VEGETABLE TOTALS,06069,1997,22252,0,22252
WHEAT,06069,1997,0,419,419
BARLEY,06071,1997,19,3,22
BEANS,06071,1997,0,2,2
BLACKBERRIES,06071,1997,4,0,4
BOYSENBERRIES,06071,1997,1,0,1
CABBAGE,06071,1997,62,0,62
CARROTS,06071,1997,1,0,1
CORN,06071,1997,1427,0,1427
COTTON,06071,1997,339,0,339
CUCUMBERS,06071,1997,2,0,2
EGGPLANT,06071,1997,1,0,1
GREENS,06071,1997,4,0,4
HAY,06071,1997,17722,856,18578
HAYLAGE,06071,1997,5162,40,5202
HERBS,06071,1997,0,1,1
LETTUCE,06071,1997,4,0,4
MELONS,06071,1997,48,0,48
ONIONS,06071,1997,14,0,14
PUMPKINS,06071,1997,35,0,35
RASPBERRIES,06071,1997,5,0,5
SQUASH,06071,1997,63,0,63
STRAWBERRIES,06071,1997,86,0,86
SWEET CORN,06071,1997,3,0,3
TOMATOES,06071,1997,33,0,33
"VEGETABLES, OTHER",06071,1997,1215,0,1215
VEGETABLE TOTALS,06071,1997,1722,0,1722
WHEAT,06071,1997,858,80,938
ARTICHOKES,06073,1997,3,0,3
BEANS,06073,1997,0,145,145
BEETS,06073,1997,29,0,29
BLACKBERRIES,06073,1997,8,0,8
BOYSENBERRIES,06073,1997,7,0,7
BROCCOLI,06073,1997,65,0,65
CARROTS,06073,1997,43,0,43
CAULIFLOWER,06073,1997,7,0,7
CUCUMBERS,06073,1997,1356,0,1356
EGGPLANT,06073,1997,22,0,22
GARLIC,06073,1997,12,0,12
GREENS,06073,1997,4,0,4
HAY,06073,1997,155,5080,5235
HERBS,06073,1997,0,508,508
LETTUCE,06073,1997,156,0,156
MELONS,06073,1997,229,0,229
ONIONS,06073,1997,6,0,6
PEAS,06073,1997,0,9,9
POTATOES,06073,1997,7,0,7
PUMPKINS,06073,1997,42,0,42
RADISHES,06073,1997,5,0,5
RASPBERRIES,06073,1997,56,0,56
SOD,06073,1997,734,0,734
SQUASH,06073,1997,253,0,253
STRAWBERRIES,06073,1997,436,0,436
SWEET CORN,06073,1997,529,0,529
TOMATOES,06073,1997,2795,0,2795
TURNIPS,06073,1997,1,0,1
"VEGETABLES, MIXED",06073,1997,26,0,26
"VEGETABLES, OTHER",06073,1997,124,0,124
VEGETABLE TOTALS,06073,1997,7153,0,7153
WHEAT,06073,1997,0,3142,3142
ASPARAGUS,06077,1997,20127,0,20127
BARLEY,06077,1997,1476,945,2421
BEANS,06077,1997,0,406,406
BEETS,06077,1997,34,0,34
BERRY TOTALS,06077,1997,91,0,91
BOYSENBERRIES,06077,1997,5,0,5
BROCCOLI,06077,1997,42,0,42
CABBAGE,06077,1997,386,0,386
CARROTS,06077,1997,476,0,476
CORN,06077,1997,90298,0,90298
CUCUMBERS,06077,1997,3455,0,3455
EGGPLANT,06077,1997,76,0,76
GARLIC,06077,1997,4,0,4
GRASSES & LEGUMES TOTALS,06077,1997,230,0,230
GREENS,06077,1997,58,0,58
HAY,06077,1997,58814,4856,63670
HAYLAGE,06077,1997,14214,1627,15841
HERBS,06077,1997,0,4,4
LETTUCE,06077,1997,167,0,167
MELONS,06077,1997,3070,0,3070
OATS,06077,1997,1379,669,2048
OKRA,06077,1997,13,0,13
ONIONS,06077,1997,1834,0,1834
PEAS,06077,1997,0,3,3
POTATOES,06077,1997,4082,0,4082
PUMPKINS,06077,1997,1792,0,1792
RADISHES,06077,1997,2,0,2
RICE,06077,1997,4713,0,4713
SAFFLOWER,06077,1997,11830,2718,14548
SOD,06077,1997,1245,0,1245
SPINACH,06077,1997,7,0,7
SQUASH,06077,1997,852,0,852
STRAWBERRIES,06077,1997,59,0,59
SUGARBEETS,06077,1997,8428,0,8428
SUNFLOWER,06077,1997,1760,0,1760
SWEET CORN,06077,1997,1706,0,1706
TOMATOES,06077,1997,34297,0,34297
TURNIPS,06077,1997,9,0,9
"VEGETABLES, MIXED",06077,1997,60,0,60
"VEGETABLES, OTHER",06077,1997,284,0,284
VEGETABLE TOTALS,06077,1997,73505,0,73505
ASPARAGUS,06079,1997,3,0,3
BARLEY,06079,1997,0,22726,22726
BEANS,06079,1997,0,1314,1314
BLACKBERRIES,06079,1997,12,0,12
BOYSENBERRIES,06079,1997,3,0,3
BROCCOLI,06079,1997,5389,0,5389
CABBAGE,06079,1997,2596,0,2596
CAULIFLOWER,06079,1997,1735,0,1735
CELERY,06079,1997,982,0,982
CUCUMBERS,06079,1997,20,0,20
