commodity,location,year,irrigated,non_irr,total
BARLEY,06001,1997,0,245,245
CORN,06001,1997,496,0,496
HAY,06001,1997,475,3391,3866
PUMPKINS,06001,1997,26,0,26
SQUASH,06001,1997,5,0,5
TOMATOES,06001,1997,2,0,2
VEGETABLE TOTALS,06001,1997,86,0,86
BEANS,06005,1997,0,1,1
CORN,06005,1997,0,520,520
EGGPLANT,06005,1997,1,0,1
HAY,06005,1997,780,996,1776
LETTUCE,06005,1997,1,0,1
RASPBERRIES,06005,1997,2,0,2
SQUASH,06005,1997,1,0,1
TOMATOES,06005,1997,1,0,1
VEGETABLE TOTALS,06005,1997,41,0,41
BEETS,06007,1997,2,0,2
BERRY TOTALS,06007,1997,78,0,78
BLACKBERRIES,06007,1997,12,0,12
BOYSENBERRIES,06007,1997,4,0,4
CABBAGE,06007,1997,1,0,1
CARROTS,06007,1997,1,0,1
CORN,06007,1997,1155,0,1155
EGGPLANT,06007,1997,1,0,1
GARLIC,06007,1997,2,0,2
HAY,06007,1997,3087,1392,4479
HERBS,06007,1997,0,13,13
LETTUCE,06007,1997,7,0,7
MELONS,06007,1997,68,0,68
OKRA,06007,1997,1,0,1
PUMPKINS,06007,1997,85,0,85
RASPBERRIES,06007,1997,1,0,1
RICE,06007,1997,10255,0,10255
SAFFLOWER,06007,1997,1233,1693,2926
SQUASH,06007,1997,119,0,119
STRAWBERRIES,06007,1997,42,0,42
SUNFLOWER,06007,1997,536,0,536
SWEET CORN,06007,1997,11,0,11
TOMATOES,06007,1997,128,0,128
"VEGETABLES, MIXED",06007,1997,21,0,21
VEGETABLE TOTALS,06007,1997,819,0,819
WHEAT,06007,1997,2438,1704,4142
WILD RICE,06007,1997,1814,0,1814
BEANS,06009,1997,0,1,1
BERRY TOTALS,06009,1997,4,0,4
CUCUMBERS,06009,1997,1,0,1
GARLIC,06009,1997,1,0,1
HAY,06009,1997,0,877,877
LETTUCE,06009,1997,5,0,5
MELONS,06009,1997,1,0,1
ONIONS,06009,1997,2,0,2
PUMPKINS,06009,1997,5,0,5
SQUASH,06009,1997,1,0,1
SWEET CORN,06009,1997,2,0,2
TOMATOES,06009,1997,3,0,3
VEGETABLE TOTALS,06009,1997,66,0,66
BARLEY,06011,1997,0,310,310
CORN,06011,1997,5835,0,5835
COTTON,06011,1997,7353,0,7353
CUCUMBERS,06011,1997,1952,0,1952
HAY,06011,1997,7660,1252,8912
MELONS,06011,1997,709,0,709
PUMPKINS,06011,1997,52,0,52
RICE,06011,1997,12943,0,12943
SAFFLOWER,06011,1997,5204,6158,11362
SORGHUM,06011,1997,108,0,108
SQUASH,06011,1997,566,0,566
SUNFLOWER,06011,1997,1056,132,1188
SWEET CORN,06011,1997,253,0,253
TOMATOES,06011,1997,25708,0,25708
VEGETABLE TOTALS,06011,1997,30096,0,30096
WHEAT,06011,1997,31206,6476,37682
BARLEY,06013,1997,0,277,277
BERRY TOTALS,06013,1997,18,0,18
BLACKBERRIES,06013,1997,3,0,3
BOYSENBERRIES,06013,1997,4,0,4
CABBAGE,06013,1997,5,0,5
CORN,06013,1997,2420,0,2420
CUCUMBERS,06013,1997,12,0,12
EGGPLANT,06013,1997,1,0,1
HAY,06013,1997,3184,2322,5506
HAYLAGE,06013,1997,0,437,437
MELONS,06013,1997,32,0,32
ONIONS,06013,1997,59,0,59
PUMPKINS,06013,1997,117,0,117
SAFFLOWER,06013,1997,105,750,855
SQUASH,06013,1997,29,0,29
SWEET CORN,06013,1997,2227,0,2227
TOMATOES,06013,1997,3611,0,3611
"VEGETABLES, OTHER",06013,1997,2,0,2
VEGETABLE TOTALS,06013,1997,7807,0,7807
WHEAT,06013,1997,1323,0,1323
HAYLAGE,06015,1997,1800,0,1800
BEANS,06017,1997,0,1,1
BERRY TOTALS,06017,1997,26,0,26
BLACKBERRIES,06017,1997,6,0,6
BOYSENBERRIES,06017,1997,9,0,9
CUCUMBERS,06017,1997,1,0,1
HAY,06017,1997,0,22,22
HERBS,06017,1997,0,3,3
LETTUCE,06017,1997,2,0,2
POTATOES,06017,1997,2,0,2
PUMPKINS,06017,1997,38,0,38
RASPBERRIES,06017,1997,8,0,8
SQUASH,06017,1997,13,0,13
SWEET CORN,06017,1997,5,0,5
TOMATOES,06017,1997,31,0,31
"VEGETABLES, OTHER",06017,1997,4,0,4
VEGETABLE TOTALS,06017,1997,113,0,113
ASPARAGUS,06019,1997,2306,0,2306
BARLEY,06019,1997,6261,636,6897
BEANS,06019,1997,0,436,436
BEETS,06019,1997,5,0,5
BERRY TOTALS,06019,1997,385,0,385
BOYSENBERRIES,06019,1997,124,0,124
BROCCOLI,06019,1997,6362,0,6362
CABBAGE,06019,1997,723,0,723
CARROTS,06019,1997,433,0,433
CAULIFLOWER,06019,1997,3,0,3
CELERY,06019,1997,6,0,6
CORN,06019,1997,28774,0,28774
COTTON,06019,1997,35152,0,35152
CUCUMBERS,06019,1997,198,0,198
DAIKON,06019,1997,55,0,55
EGGPLANT,06019,1997,1144,0,1144
GARLIC,06019,1997,19949,0,19949
GREENS,06019,1997,86,0,86
HAY,06019,1997,72501,2606,75107
HAYLAGE,06019,1997,16329,60,16389
HERBS,06019,1997,0,39,39
LETTUCE,06019,1997,10460,0,10460
MELONS,06019,1997,35237,0,35237
OATS,06019,1997,1246,494,1740
OKRA,06019,1997,17,0,17
ONIONS,06019,1997,12441,0,12441
PEAS,06019,1997,0,44,44
RADISHES,06019,1997,249,0,249
RICE,06019,1997,4653,0,4653
SAFFLOWER,06019,1997,1662,599,2261
SQUASH,06019,1997,1289,0,1289
STRAWBERRIES,06019,1997,179,0,179
SUGARBEETS,06019,1997,15069,0,15069
SWEET CORN,06019,1997,3501,0,3501
SWEET POTATOES,06019,1997,527,0,527
TOMATOES,06019,1997,80033,0,80033
TURNIPS,06019,1997,155,0,155
"VEGETABLES, MIXED",06019,1997,318,0,318
