commodity,location,year,irrigated,non_irr,total
ASPARAGUS,cmz08,1997,342.26,0.00,342.26
BARLEY,cmz08,1997,212495.63,333577.30,546072.93
BEANS,cmz08,1997,0.00,6.50,6.50
BEETS,cmz08,1997,2.92,0.00,2.92
BERRY TOTALS,cmz08,1997,17.37,0.00,17.37
BROCCOLI,cmz08,1997,0.19,0.00,0.19
BUCKWHEAT,cmz08,1997,17.33,0.00,17.33
CABBAGE,cmz08,1997,2.74,0.00,2.74
CANOLA,cmz08,1997,2124.09,4474.96,6599.05
CARROTS,cmz08,1997,10.85,0.00,10.85
CAULIFLOWER,cmz08,1997,1.00,0.00,1.00
CORN,cmz08,1997,10040.04,102.26,10142.30
CUCUMBERS,cmz08,1997,2.10,0.00,2.10
"FIELD CROPS, OTHER",cmz08,1997,12.16,0.00,12.16
GARLIC,cmz08,1997,184.39,0.00,184.39
"GRASSES & LEGUMES, OTHER",cmz08,1997,293.68,0.00,293.68
GRASSES & LEGUMES TOTALS,cmz08,1997,33508.75,0.00,33508.75
HAY,cmz08,1997,785389.59,484529.20,1269918.79
HAYLAGE,cmz08,1997,13610.09,7626.08,21236.17
HERBS,cmz08,1997,4.26,4.14,8.40
LENTILS,cmz08,1997,0.00,41541.05,41541.05
LETTUCE,cmz08,1997,0.56,0.00,0.56
MELONS,cmz08,1997,301.01,0.00,301.01
MINT,cmz08,1997,0.00,15431.84,15431.84
MUSTARD,cmz08,1997,2856.00,0.00,2856.00
OATS,cmz08,1997,11709.13,18664.31,30373.44
ONIONS,cmz08,1997,1566.00,0.00,1566.00
PEAS,cmz08,1997,685.70,37709.35,38395.05
POTATOES,cmz08,1997,62224.61,389.96,62614.57
PUMPKINS,cmz08,1997,48.74,0.00,48.74
RASPBERRIES,cmz08,1997,21.06,0.00,21.06
SAFFLOWER,cmz08,1997,0.00,297.43,297.43
SOD,cmz08,1997,22.94,0.00,22.94
SPINACH,cmz08,1997,4.41,0.00,4.41
SQUASH,cmz08,1997,19.84,0.00,19.84
STRAWBERRIES,cmz08,1997,8.96,0.00,8.96
SUGARBEETS,cmz08,1997,7251.44,0.00,7251.44
SWEET CORN,cmz08,1997,1960.69,0.00,1960.69
TOMATOES,cmz08,1997,14.51,0.00,14.51
"VEGETABLES, OTHER",cmz08,1997,5.48,0.00,5.48
VEGETABLE TOTALS,cmz08,1997,16405.96,0.00,16405.96
WHEAT,cmz08,1997,7638.22,43110.62,50748.84
BARLEY,cmz10,1997,204650.99,113430.08,318081.07
BEETS,cmz10,1997,0.66,0.00,0.66
BERRY TOTALS,cmz10,1997,0.82,0.00,0.82
CANOLA,cmz10,1997,266.49,66.78,333.27
CORN,cmz10,1997,5290.68,0.00,5290.68
GRASSES & LEGUMES TOTALS,cmz10,1997,1226.59,0.00,1226.59
HAY,cmz10,1997,243949.43,36434.50,280383.93
HAYLAGE,cmz10,1997,7890.47,646.09,8536.56
MUSTARD,cmz10,1997,381.15,0.00,381.15
OATS,cmz10,1997,2561.33,530.17,3091.50
PEAS,cmz10,1997,312.12,61.20,373.32
POTATOES,cmz10,1997,228911.77,100.80,229012.57
RASPBERRIES,cmz10,1997,1.82,0.00,1.82
SAFFLOWER,cmz10,1997,0.00,2919.05,2919.05
SOD,cmz10,1997,39.06,0.00,39.06
SUGARBEETS,cmz10,1997,58606.50,0.00,58606.50
SWEET CORN,cmz10,1997,41.00,0.00,41.00
VEGETABLE TOTALS,cmz10,1997,434.31,0.00,434.31
WHEAT,cmz10,1997,5651.59,750.75,6402.34
ASPARAGUS,cmz11,1997,119.40,0.00,119.40
BARLEY,cmz11,1997,82444.42,8411.18,90855.60
BEANS,cmz11,1997,0.00,992.89,992.89
BERRY TOTALS,cmz11,1997,14.39,0.00,14.39
CORN,cmz11,1997,85000.30,4.50,85004.80
CUCUMBERS,cmz11,1997,2.79,0.00,2.79
"FIELD CROPS, OTHER",cmz11,1997,395.00,0.00,395.00
"GRASSES & LEGUMES, OTHER",cmz11,1997,212.50,0.00,212.50
GRASSES & LEGUMES TOTALS,cmz11,1997,4870.15,0.00,4870.15
HAY,cmz11,1997,241524.92,29365.53,270890.45
HAYLAGE,cmz11,1997,23971.86,135.40,24107.26
LETTUCE,cmz11,1997,0.79,0.00,0.79
MELONS,cmz11,1997,86.96,0.00,86.96
MINT,cmz11,1997,0.00,18328.22,18328.22
OATS,cmz11,1997,1629.41,177.57,1806.98
ONIONS,cmz11,1997,5641.85,0.00,5641.85
PEAS,cmz11,1997,3800.57,284.28,4084.85
POTATOES,cmz11,1997,85070.59,4.20,85074.79
PUMPKINS,cmz11,1997,52.50,0.00,52.50
SOD,cmz11,1997,689.67,0.00,689.67
SQUASH,cmz11,1997,12.37,0.00,12.37
STRAWBERRIES,cmz11,1997,14.00,0.00,14.00
SUGARBEETS,cmz11,1997,96994.03,0.00,96994.03
SWEET CORN,cmz11,1997,14016.62,0.00,14016.62
TOMATOES,cmz11,1997,13.04,0.00,13.04
VEGETABLE TOTALS,cmz11,1997,22563.39,0.00,22563.39
WHEAT,cmz11,1997,307.44,769.23,1076.67
ASPARAGUS,cmz25,1997,64.32,0.00,64.32
BARLEY,cmz25,1997,32640.26,996.87,33637.13
BEANS,cmz25,1997,0.00,828.90,828.90
BERRY TOTALS,cmz25,1997,15.12,0.00,15.12
CORN,cmz25,1997,21788.29,21.60,21809.89
GRASSES & LEGUMES TOTALS,cmz25,1997,5843.91,0.00,5843.91
HAY,cmz25,1997,115546.51,5144.27,120690.78
HAYLAGE,cmz25,1997,7638.20,114.90,7753.10
MELONS,cmz25,1997,1.44,0.00,1.44
MINT,cmz25,1997,0.00,1129.57,1129.57
OATS,cmz25,1997,502.61,39.91,542.52
ONIONS,cmz25,1997,3476.51,0.00,3476.51
PEAS,cmz25,1997,1839.36,333.72,2173.08
POTATOES,cmz25,1997,29674.83,20.16,29694.99
SUGARBEETS,cmz25,1997,30552.84,0.00,30552.84
SWEET CORN,cmz25,1997,4593.38,0.00,4593.38
VEGETABLE TOTALS,cmz25,1997,10471.37,0.00,10471.37
ASPARAGUS,cmz26,1997,179.56,0.00,179.56
BARLEY,cmz26,1997,6556.51,391.27,6947.78
BEANS,cmz26,1997,0.00,0.53,0.53
BERRY TOTALS,cmz26,1997,4.28,0.00,4.28
BLACKBERRIES,cmz26,1997,0.92,0.00,0.92
BOYSENBERRIES,cmz26,1997,0.38,0.00,0.38
BROCCOLI,cmz26,1997,0.11,0.00,0.11
CARROTS,cmz26,1997,0.33,0.00,0.33
CORN,cmz26,1997,11084.48,60.30,11144.78
CUCUMBERS,cmz26,1997,0.61,0.00,0.61
EGGPLANT,cmz26,1997,0.46,0.00,0.46
GARLIC,cmz26,1997,16.37,0.00,16.37
GRASSES & LEGUMES TOTALS,cmz26,1997,6151.42,0.00,6151.42
