commodity,location,year,irrigated,non_irr,total
HAY,cmz26,1997,208762.14,28556.28,237318.42
HAYLAGE,cmz26,1997,2490.10,280.00,2770.10
HERBS,cmz26,1997,0.00,0.06,0.06
LETTUCE,cmz26,1997,0.16,0.00,0.16
MELONS,cmz26,1997,4.34,0.00,4.34
MINT,cmz26,1997,0.00,2124.75,2124.75
OATS,cmz26,1997,1209.07,158.38,1367.45
ONIONS,cmz26,1997,9133.72,0.00,9133.72
PEAS,cmz26,1997,262.64,0.00,262.64
POTATOES,cmz26,1997,8006.12,56.28,8062.40
PUMPKINS,cmz26,1997,1.79,0.00,1.79
RASPBERRIES,cmz26,1997,0.50,0.00,0.50
RICE,cmz26,1997,660.44,0.00,660.44
SQUASH,cmz26,1997,0.92,0.00,0.92
SUGARBEETS,cmz26,1997,7022.27,0.00,7022.27
SWEET CORN,cmz26,1997,500.54,0.00,500.54
TOMATOES,cmz26,1997,2.13,0.00,2.13
"VEGETABLES, MIXED",cmz26,1997,1.02,0.00,1.02
"VEGETABLES, OTHER",cmz26,1997,164.28,0.00,164.28
VEGETABLE TOTALS,cmz26,1997,10670.41,0.00,10670.41
WHEAT,cmz26,1997,972.12,352.46,1324.58
ARTICHOKES,cmz31,1997,119.36,0.00,119.36
BARLEY,cmz31,1997,2538.19,1226.06,3764.25
BEANS,cmz31,1997,0.00,93.87,93.87
BEETS,cmz31,1997,3.62,0.00,3.62
BERRY TOTALS,cmz31,1997,9.16,0.00,9.16
BLACKBERRIES,cmz31,1997,3.40,0.00,3.40
BOYSENBERRIES,cmz31,1997,3.93,0.00,3.93
BROCCOLI,cmz31,1997,493.76,0.00,493.76
CABBAGE,cmz31,1997,288.31,0.00,288.31
CARROTS,cmz31,1997,14307.24,0.00,14307.24
CAULIFLOWER,cmz31,1997,106.08,0.00,106.08
CELERY,cmz31,1997,39.52,0.00,39.52
CORN,cmz31,1997,7346.35,0.00,7346.35
COTTON,cmz31,1997,8958.95,0.00,8958.95
CUCUMBERS,cmz31,1997,36.83,0.00,36.83
EGGPLANT,cmz31,1997,41.11,0.00,41.11
GARLIC,cmz31,1997,807.50,0.00,807.50
GRASSES & LEGUMES TOTALS,cmz31,1997,146.17,0.00,146.17
GREENS,cmz31,1997,28.63,0.00,28.63
HAY,cmz31,1997,56233.94,3826.44,60060.38
HAYLAGE,cmz31,1997,7523.75,620.75,8144.50
HERBS,cmz31,1997,0.00,14.01,14.01
LETTUCE,cmz31,1997,2046.47,0.00,2046.47
MELONS,cmz31,1997,4109.41,0.00,4109.41
OATS,cmz31,1997,400.48,36.50,436.98
OKRA,cmz31,1997,1.48,0.00,1.48
ONIONS,cmz31,1997,3303.14,0.00,3303.14
PARSLEY,cmz31,1997,12.96,0.00,12.96
PEAS,cmz31,1997,0.00,0.16,0.16
POTATOES,cmz31,1997,5423.00,0.00,5423.00
PUMPKINS,cmz31,1997,79.99,0.00,79.99
RADISHES,cmz31,1997,18.56,0.00,18.56
RASPBERRIES,cmz31,1997,6.05,0.00,6.05
SAFFLOWER,cmz31,1997,1350.75,221.00,1571.75
SOD,cmz31,1997,791.77,0.00,791.77
SORGHUM,cmz31,1997,75.75,0.00,75.75
SPINACH,cmz31,1997,28.16,0.00,28.16
SQUASH,cmz31,1997,250.95,0.00,250.95
STRAWBERRIES,cmz31,1997,239.63,0.00,239.63
SUGARBEETS,cmz31,1997,1310.00,0.00,1310.00
SWEET CORN,cmz31,1997,905.81,0.00,905.81
TOMATOES,cmz31,1997,930.17,0.00,930.17
TURNIPS,cmz31,1997,101.00,0.00,101.00
"VEGETABLES, OTHER",cmz31,1997,1180.82,0.00,1180.82
VEGETABLE TOTALS,cmz31,1997,31480.16,0.00,31480.16
WHEAT,cmz31,1997,2231.78,2666.56,4898.34
BARLEY,cmz32,1997,23984.66,901.31,24885.97
BEANS,cmz32,1997,0.00,0.16,0.16
BLACKBERRIES,cmz32,1997,0.08,0.00,0.08
BOYSENBERRIES,cmz32,1997,0.24,0.00,0.24
CUCUMBERS,cmz32,1997,0.16,0.00,0.16
HAY,cmz32,1997,126579.46,13503.92,140083.38
HAYLAGE,cmz32,1997,1363.97,273.44,1637.41
HERBS,cmz32,1997,0.00,0.16,0.16
MELONS,cmz32,1997,0.77,0.00,0.77
OATS,cmz32,1997,1948.24,214.05,2162.29
ONIONS,cmz32,1997,1524.37,0.00,1524.37
POTATOES,cmz32,1997,9819.59,0.00,9819.59
PUMPKINS,cmz32,1997,3.12,0.00,3.12
RASPBERRIES,cmz32,1997,0.37,0.00,0.37
RYE,cmz32,1997,37.38,0.00,37.38
SQUASH,cmz32,1997,1.43,0.00,1.43
STRAWBERRIES,cmz32,1997,8.42,0.00,8.42
SWEET CORN,cmz32,1997,0.40,0.00,0.40
TOMATOES,cmz32,1997,1.96,0.00,1.96
"VEGETABLES, MIXED",cmz32,1997,2.78,0.00,2.78
"VEGETABLES, OTHER",cmz32,1997,817.60,0.00,817.60
VEGETABLE TOTALS,cmz32,1997,2641.55,0.00,2641.55
WHEAT,cmz32,1997,4441.61,708.57,5150.18
WILD RICE,cmz32,1997,63.28,0.00,63.28
ASPARAGUS,cmz34,1997,19990.37,0.00,19990.37
BARLEY,cmz34,1997,23186.04,16189.79,39375.83
BEANS,cmz34,1997,0.00,1525.98,1525.98
BEETS,cmz34,1997,40.06,0.00,40.06
BERRY TOTALS,cmz34,1997,892.67,0.00,892.67
BLACKBERRIES,cmz34,1997,17.63,0.00,17.63
BOYSENBERRIES,cmz34,1997,71.40,0.00,71.40
BROCCOLI,cmz34,1997,6489.29,0.00,6489.29
CABBAGE,cmz34,1997,1465.32,0.00,1465.32
CARROTS,cmz34,1997,23242.51,0.00,23242.51
CAULIFLOWER,cmz34,1997,434.09,0.00,434.09
CELERY,cmz34,1997,155.12,0.00,155.12
CORN,cmz34,1997,404611.30,10.89,404622.19
COTTON,cmz34,1997,159327.76,0.00,159327.76
CUCUMBERS,cmz34,1997,5186.09,0.00,5186.09
DAIKON,cmz34,1997,25.30,0.00,25.30
EGGPLANT,cmz34,1997,703.04,0.00,703.04
"FIELD CROPS, OTHER",cmz34,1997,654.18,0.00,654.18
GARLIC,cmz34,1997,10515.85,0.00,10515.85
GRASSES & LEGUMES TOTALS,cmz34,1997,7177.19,0.00,7177.19
GREENS,cmz34,1997,104.87,0.00,104.87
HAY,cmz34,1997,417369.03,49590.67,466959.70
HAYLAGE,cmz34,1997,96222.96,7655.45,103878.41
HERBS,cmz34,1997,0.00,164.61,164.61
LETTUCE,cmz34,1997,8995.02,0.00,8995.02
MELONS,cmz34,1997,42128.97,0.00,42128.97
OATS,cmz34,1997,7475.61,3472.58,10948.19
OKRA,cmz34,1997,28.36,0.00,28.36
ONIONS,cmz34,1997,11634.62,0.00,11634.62
PEAS,cmz34,1997,0.00,667.87,667.87
POTATOES,cmz34,1997,12780.59,0.00,12780.59
PUMPKINS,cmz34,1997,3177.20,0.00,3177.20
RADISHES,cmz34,1997,116.42,0.00,116.42
RASPBERRIES,cmz34,1997,7.90,0.00,7.90
RICE,cmz34,1997,220769.46,0.00,220769.46
SAFFLOWER,cmz34,1997,68089.30,45616.18,113705.48
SOD,cmz34,1997,2455.57,0.00,2455.57
SORGHUM,cmz34,1997,7136.62,682.71,7819.33
SPINACH,cmz34,1997,1098.63,0.00,1098.63
SQUASH,cmz34,1997,2882.68,0.00,2882.68
STRAWBERRIES,cmz34,1997,720.15,0.00,720.15
SUGARBEETS,cmz34,1997,26810.79,0.00,26810.79
SUNFLOWER,cmz34,1997,18434.53,139.12,18573.65
SWEET CORN,cmz34,1997,7022.04,0.00,7022.04
SWEET POTATOES,cmz34,1997,5554.28,0.00,5554.28
TOMATOES,cmz34,1997,227256.71,0.00,227256.71
TURNIPS,cmz34,1997,245.40,0.00,245.40
"VEGETABLES, MIXED",cmz34,1997,369.29,0.00,369.29
"VEGETABLES, OTHER",cmz34,1997,1133.79,0.00,1133.79
VEGETABLE TOTALS,cmz34,1997,334015.69,0.00,334015.69
WHEAT,cmz34,1997,108706.88,42452.19,151159.07
WILD RICE,cmz34,1997,2274.22,0.00,2274.22
ASPARAGUS,cmz36,1997,1014.88,0.00,1014.88
BARLEY,cmz36,1997,18065.80,4847.50,22913.30
BEANS,cmz36,1997,0.00,934.24,934.24
BEETS,cmz36,1997,28.61,0.00,28.61
BERRY TOTALS,cmz36,1997,461.43,0.00,461.43
BLACKBERRIES,cmz36,1997,54.88,0.00,54.88
BLUEBERRIES,cmz36,1997,77.24,0.00,77.24
BOYSENBERRIES,cmz36,1997,80.13,0.00,80.13
BROCCOLI,cmz36,1997,3610.06,0.00,3610.06
CABBAGE,cmz36,1997,436.07,0.00,436.07
CARROTS,cmz36,1997,16736.03,0.00,16736.03
CAULIFLOWER,cmz36,1997,326.61,0.00,326.61
CELERY,cmz36,1997,3.35,0.00,3.35
CORN,cmz36,1997,112519.63,588.86,113108.49
COTTON,cmz36,1997,103513.49,0.00,103513.49
CUCUMBERS,cmz36,1997,736.14,0.00,736.14
DAIKON,cmz36,1997,24.20,0.00,24.20
EGGPLANT,cmz36,1997,581.08,0.00,581.08
"FIELD CROPS, OTHER",cmz36,1997,16.08,0.00,16.08
GARLIC,cmz36,1997,9777.81,0.00,9777.81
GRASSES & LEGUMES TOTALS,cmz36,1997,2367.70,0.00,2367.70
GREENS,cmz36,1997,39.97,0.00,39.97
HAY,cmz36,1997,226194.53,60522.33,286716.86
HAYLAGE,cmz36,1997,44801.44,8703.53,53504.97
HERBS,cmz36,1997,0.00,68.70,68.70
LETTUCE,cmz36,1997,6307.67,0.00,6307.67
MELONS,cmz36,1997,19055.33,0.00,19055.33
OATS,cmz36,1997,2774.99,2042.03,4817.02
OKRA,cmz36,1997,11.79,0.00,11.79
ONIONS,cmz36,1997,9139.79,0.00,9139.79
PEAS,cmz36,1997,0.00,24.40,24.40
POTATOES,cmz36,1997,11512.10,0.00,11512.10
PUMPKINS,cmz36,1997,380.72,0.00,380.72
RADISHES,cmz36,1997,114.53,0.00,114.53
RASPBERRIES,cmz36,1997,39.85,0.00,39.85
RICE,cmz36,1997,80039.26,0.00,80039.26
SAFFLOWER,cmz36,1997,5629.37,4089.24,9718.61
SOD,cmz36,1997,297.90,0.00,297.90
SORGHUM,cmz36,1997,3317.51,1.05,3318.56
SPINACH,cmz36,1997,660.22,0.00,660.22
SQUASH,cmz36,1997,1641.53,0.00,1641.53
STRAWBERRIES,cmz36,1997,195.65,0.00,195.65
SUGARBEETS,cmz36,1997,9883.72,0.00,9883.72
SUNFLOWER,cmz36,1997,4186.23,32.88,4219.11
SWEET CORN,cmz36,1997,3464.55,0.00,3464.55
SWEET POTATOES,cmz36,1997,232.03,0.00,232.03
TOMATOES,cmz36,1997,46679.85,0.00,46679.85
TURNIPS,cmz36,1997,190.99,0.00,190.99
"VEGETABLES, MIXED",cmz36,1997,291.99,0.00,291.99
"VEGETABLES, OTHER",cmz36,1997,841.73,0.00,841.73
VEGETABLE TOTALS,cmz36,1997,58648.45,0.00,58648.45
WHEAT,cmz36,1997,22280.75,8827.90,31108.65
WILD RICE,cmz36,1997,1630.50,0.00,1630.50
ARTICHOKES,cmz39,1997,8239.01,0.00,8239.01
ASPARAGUS,cmz39,1997,5579.51,0.00,5579.51
BARLEY,cmz39,1997,3848.79,36384.58,40233.37
BEANS,cmz39,1997,0.00,4623.18,4623.18
BEETS,cmz39,1997,492.62,0.00,492.62
BERRY TOTALS,cmz39,1997,21545.49,0.00,21545.49
BLACKBERRIES,cmz39,1997,389.11,0.00,389.11
BOYSENBERRIES,cmz39,1997,27.14,0.00,27.14
BROCCOLI,cmz39,1997,96663.31,0.00,96663.31
BRUSSELS SPROUTS,cmz39,1997,1849.05,0.00,1849.05
CABBAGE,cmz39,1997,15101.96,0.00,15101.96
CARROTS,cmz39,1997,10642.74,0.00,10642.74
CAULIFLOWER,cmz39,1997,29710.72,0.00,29710.72
CELERY,cmz39,1997,23547.31,0.00,23547.31
CHICORY,cmz39,1997,1033.90,0.00,1033.90
CORN,cmz39,1997,39787.41,0.00,39787.41
COTTON,cmz39,1997,22822.79,0.00,22822.79
CUCUMBERS,cmz39,1997,2724.71,0.00,2724.71
DAIKON,cmz39,1997,5.50,0.00,5.50
EGGPLANT,cmz39,1997,245.65,0.00,245.65
"FIELD CROPS, OTHER",cmz39,1997,3.54,0.00,3.54
GARLIC,cmz39,1997,3520.66,0.00,3520.66
GRASSES & LEGUMES TOTALS,cmz39,1997,224.41,0.00,224.41
GREENS,cmz39,1997,4426.38,0.00,4426.38
HAY,cmz39,1997,96440.49,54664.07,151104.56
HAYLAGE,cmz39,1997,17166.72,3360.61,20527.33
HERBS,cmz39,1997,0.00,3742.08,3742.08
LETTUCE,cmz39,1997,62504.90,0.00,62504.90
MELONS,cmz39,1997,12883.15,0.00,12883.15
OATS,cmz39,1997,1937.98,1287.60,3225.58
OKRA,cmz39,1997,3.82,0.00,3.82
ONIONS,cmz39,1997,12515.00,0.00,12515.00
PARSLEY,cmz39,1997,2479.60,0.00,2479.60
PEAS,cmz39,1997,0.00,4748.03,4748.03
POTATOES,cmz39,1997,1065.17,0.00,1065.17
PUMPKINS,cmz39,1997,1371.40,0.00,1371.40
RADISHES,cmz39,1997,537.68,0.00,537.68
RASPBERRIES,cmz39,1997,1576.57,0.00,1576.57
RICE,cmz39,1997,2223.46,0.00,2223.46
SAFFLOWER,cmz39,1997,2043.87,5547.82,7591.69
SOD,cmz39,1997,2251.40,0.00,2251.40
SORGHUM,cmz39,1997,9.09,0.00,9.09
SPINACH,cmz39,1997,14800.18,0.00,14800.18
SQUASH,cmz39,1997,3997.24,0.00,3997.24
STRAWBERRIES,cmz39,1997,26102.40,0.00,26102.40
SUGARBEETS,cmz39,1997,4983.58,0.00,4983.58
SUNFLOWER,cmz39,1997,105.60,0.00,105.60
SWEET CORN,cmz39,1997,7004.57,0.00,7004.57
SWEET POTATOES,cmz39,1997,1206.69,0.00,1206.69
TOMATOES,cmz39,1997,35521.94,0.00,35521.94
TURNIPS,cmz39,1997,29.08,0.00,29.08
"VEGETABLES, MIXED",cmz39,1997,346.37,0.00,346.37
"VEGETABLES, OTHER",cmz39,1997,3882.26,0.00,3882.26
VEGETABLE TOTALS,cmz39,1997,272588.17,0.00,272588.17
WHEAT,cmz39,1997,5686.97,19150.78,24837.75
BEANS,cmz45,1997,0.00,156.95,156.95
BEETS,cmz45,1997,13.06,0.00,13.06
BERRY TOTALS,cmz45,1997,109.17,0.00,109.17
BLACKBERRIES,cmz45,1997,5.86,0.00,5.86
BLUEBERRIES,cmz45,1997,37.52,0.00,37.52
BOYSENBERRIES,cmz45,1997,1.12,0.00,1.12
BROCCOLI,cmz45,1997,29.88,0.00,29.88
CABBAGE,cmz45,1997,12.60,0.00,12.60
CARROTS,cmz45,1997,6.61,0.00,6.61
CAULIFLOWER,cmz45,1997,1.26,0.00,1.26
CELERY,cmz45,1997,0.28,0.00,0.28
CORN,cmz45,1997,525.29,0.00,525.29
CRANBERRIES,cmz45,1997,29.05,0.00,29.05
CUCUMBERS,cmz45,1997,23.36,0.00,23.36
EGGPLANT,cmz45,1997,2.27,0.00,2.27
GARLIC,cmz45,1997,9.45,0.00,9.45
GREENS,cmz45,1997,0.72,0.00,0.72
HAY,cmz45,1997,1923.26,6929.17,8852.43
HAYLAGE,cmz45,1997,4426.49,3426.17,7852.66
HERBS,cmz45,1997,0.00,5.76,5.76
LETTUCE,cmz45,1997,146.94,0.00,146.94
MELONS,cmz45,1997,56.83,0.00,56.83
OATS,cmz45,1997,0.00,250.42,250.42
ONIONS,cmz45,1997,25.04,0.00,25.04
PEAS,cmz45,1997,0.00,3.43,3.43
POTATOES,cmz45,1997,242.39,0.00,242.39
PUMPKINS,cmz45,1997,84.73,0.00,84.73
RADISHES,cmz45,1997,1.96,0.00,1.96
RASPBERRIES,cmz45,1997,7.69,0.00,7.69
SPINACH,cmz45,1997,7.11,0.00,7.11
SQUASH,cmz45,1997,177.38,0.00,177.38
STRAWBERRIES,cmz45,1997,21.50,0.00,21.50
SWEET CORN,cmz45,1997,53.34,0.00,53.34
TOMATOES,cmz45,1997,54.52,0.00,54.52
TURNIPS,cmz45,1997,1.35,0.00,1.35
"VEGETABLES, MIXED",cmz45,1997,38.37,0.00,38.37
"VEGETABLES, OTHER",cmz45,1997,68.99,0.00,68.99
VEGETABLE TOTALS,cmz45,1997,1270.22,0.00,1270.22
BARLEY,cmz46,1997,613.43,17274.66,17888.09
BEANS,cmz46,1997,0.00,0.80,0.80
BEETS,cmz46,1997,0.45,0.00,0.45
BERRY TOTALS,cmz46,1997,18.49,0.00,18.49
CANOLA,cmz46,1997,57.42,687.70,745.12
CARROTS,cmz46,1997,11.78,0.00,11.78
CORN,cmz46,1997,48.72,33.84,82.56
CUCUMBERS,cmz46,1997,3.19,0.00,3.19
"FIELD CROPS, OTHER",cmz46,1997,18.24,0.00,18.24
GARLIC,cmz46,1997,1.40,0.00,1.40
GRASSES & LEGUMES TOTALS,cmz46,1997,10613.17,0.00,10613.17
HAY,cmz46,1997,4357.75,34037.42,38395.17
HAYLAGE,cmz46,1997,360.65,930.05,1290.70
LENTILS,cmz46,1997,0.00,8195.36,8195.36
LETTUCE,cmz46,1997,0.45,0.00,0.45
MELONS,cmz46,1997,0.70,0.00,0.70
MUSTARD,cmz46,1997,42.30,0.00,42.30
OATS,cmz46,1997,74.61,2126.30,2200.91
PEAS,cmz46,1997,68.82,5726.98,5795.80
POTATOES,cmz46,1997,113.04,0.00,113.04
PUMPKINS,cmz46,1997,44.08,0.00,44.08
RASPBERRIES,cmz46,1997,9.03,0.00,9.03
SQUASH,cmz46,1997,18.51,0.00,18.51
STRAWBERRIES,cmz46,1997,10.49,0.00,10.49
SWEET CORN,cmz46,1997,50.28,0.00,50.28
TOMATOES,cmz46,1997,3.24,0.00,3.24
"VEGETABLES, OTHER",cmz46,1997,0.29,0.00,0.29
VEGETABLE TOTALS,cmz46,1997,195.75,0.00,195.75
ASPARAGUS,cmz47,1997,411.09,0.00,411.09
BARLEY,cmz47,1997,3030.97,119282.94,122313.91
BEANS,cmz47,1997,0.00,39.60,39.60
BEETS,cmz47,1997,0.24,0.00,0.24
BERRY TOTALS,cmz47,1997,34.00,0.00,34.00
BUCKWHEAT,cmz47,1997,207.96,0.00,207.96
CABBAGE,cmz47,1997,1.20,0.00,1.20
CANOLA,cmz47,1997,645.66,4385.87,5031.53
CARROTS,cmz47,1997,24.17,0.00,24.17
CORN,cmz47,1997,3475.83,195.74,3671.57
CUCUMBERS,cmz47,1997,6.60,0.00,6.60
"FIELD CROPS, OTHER",cmz47,1997,51.68,0.00,51.68
GARLIC,cmz47,1997,2.10,0.00,2.10
"GRASSES & LEGUMES, OTHER",cmz47,1997,107.94,0.00,107.94
GRASSES & LEGUMES TOTALS,cmz47,1997,31675.67,0.00,31675.67
HAY,cmz47,1997,23684.88,53191.47,76876.35
HAYLAGE,cmz47,1997,804.90,1276.24,2081.14
LENTILS,cmz47,1997,0.00,85390.63,85390.63
MELONS,cmz47,1997,202.23,0.00,202.23
MINT,cmz47,1997,0.00,1792.44,1792.44
MUSTARD,cmz47,1997,2071.16,0.00,2071.16
OATS,cmz47,1997,105.60,5288.87,5394.47
ONIONS,cmz47,1997,1282.14,0.00,1282.14
PEAS,cmz47,1997,361.52,110580.92,110942.44
POTATOES,cmz47,1997,6178.60,0.24,6178.84
PUMPKINS,cmz47,1997,106.74,0.00,106.74
RASPBERRIES,cmz47,1997,12.63,0.00,12.63
SPINACH,cmz47,1997,52.92,0.00,52.92
SQUASH,cmz47,1997,35.40,0.00,35.40
STRAWBERRIES,cmz47,1997,23.51,0.00,23.51
SUGARBEETS,cmz47,1997,186.30,0.00,186.30
SWEET CORN,cmz47,1997,1757.76,0.00,1757.76
TOMATOES,cmz47,1997,9.53,0.00,9.53
"VEGETABLES, OTHER",cmz47,1997,0.60,0.00,0.60
VEGETABLE TOTALS,cmz47,1997,17438.81,0.00,17438.81
ASPARAGUS,cmz49,1997,11169.92,0.00,11169.92
BARLEY,cmz49,1997,1966.26,14065.33,16031.59
BEANS,cmz49,1997,0.00,881.39,881.39
BEETS,cmz49,1997,0.22,0.00,0.22
BERRY TOTALS,cmz49,1997,76.16,0.00,76.16
BUCKWHEAT,cmz49,1997,190.63,0.00,190.63
CABBAGE,cmz49,1997,45.85,0.00,45.85
CANOLA,cmz49,1997,1392.79,1020.81,2413.60
CARROTS,cmz49,1997,4823.00,0.00,4823.00
CORN,cmz49,1997,46410.37,1377.13,47787.50
CUCUMBERS,cmz49,1997,61.84,0.00,61.84
EGGPLANT,cmz49,1997,1.75,0.00,1.75
"FIELD CROPS, OTHER",cmz49,1997,293.40,6.80,300.20
GARLIC,cmz49,1997,1.35,0.00,1.35
"GRASSES & LEGUMES, OTHER",cmz49,1997,1315.18,0.00,1315.18
GRASSES & LEGUMES TOTALS,cmz49,1997,11283.14,0.00,11283.14
